1980,1,226.1
1980,2,219.4
1980,3,178.7
1980,4,232.2
1980,5,254.7
1980,6,222.7
1980,7,192.9
1980,8,191.7
1980,9,219.6
1980,10,233.3
1980,11,209.5
1980,12,246.9
1981,1,156.6
1981,2,189.9
1981,3,196.6
1981,4,225.3
1981,5,194.7
1981,6,131.6
1981,7,205.3
1981,8,242.5
1981,9,245.3
1981,10,216.2
1981,11,186
1981,12,195.4
1982,1,149.8
1982,2,230.9
1982,3,221.1
1982,4,170.3
1982,5,119.3
1982,6,163.7
1982,7,139.4
1982,8,161.9
1982,9,167.4
1982,10,134.3
1982,11,127.5
1982,12,169
1983,1,115.5
1983,2,73.1
1983,3,88.7
1983,4,109.6
1983,5,132.5
1983,6,131.5
1983,7,108.9
1983,8,96
1983,9,69.9
1983,10,72.5
1983,11,45.7
1983,12,45.6
1984,1,74.8
1984,2,110.2
1984,3,116.7
1984,4,90.4
1984,5,96.9
1984,6,65.1
1984,7,55.7
1984,8,35
1984,9,22.6
1984,10,12.6
1984,11,26.5
1984,12,21.4
1985,1,17.8
1985,2,20.7
1985,3,16.9
1985,4,20.4
1985,5,32.4
1985,6,28.3
1985,7,39.9
1985,8,10.1
1985,9,4.3
1985,10,22
1985,11,17.9
1985,12,15.8
1986,1,2.8
1986,2,27.9
1986,3,13.8
1986,4,22.4
1986,5,16.1
1986,6,0.6
1986,7,18.1
1986,8,9.9
1986,9,5.1
1986,10,40.1
1986,11,15.4
1986,12,5.8
1987,1,9.8
1987,2,3.4
1987,3,17.4
1987,4,46
1987,5,39.1
1987,6,18.8
1987,7,38.2
1987,8,47.9
1987,9,42.2
1987,10,63.4
1987,11,48.8
1987,12,29.1
1988,1,70.5
1988,2,45.4
1988,3,91.2
1988,4,108.8
1988,5,74.2
1988,6,124.3
1988,7,131.4
1988,8,139.4
1988,9,142.7
1988,10,156.5
1988,11,156.8
1988,12,231.2
1989,1,210.1
1989,2,208.7
1989,3,170.4
1989,4,166.3
1989,5,195.4
1989,6,284.5
1989,7,180.5
1989,8,232
1989,9,225.1
1989,10,212.2
1989,11,238.2
1989,12,211.4
1990,1,227.4
1990,2,171.8
1990,3,191.7
1990,4,189.7
1990,5,175.2
1990,6,153.3
1990,7,191.1
1990,8,252.1
1990,9,169.1
1990,10,199.4
1990,11,178.8
1990,12,197.1
1991,1,195.3
1991,2,240.3
1991,3,197
1991,4,197.6
1991,5,166.9
1991,6,224.7
1991,7,240.2
1991,8,240.8
1991,9,168.9
1991,10,197.1
1991,11,159.5
1991,12,212.6
1992,1,198.3
1992,2,230.7
1992,3,151
1992,4,142.2
1992,5,94.3
1992,6,98.5
1992,7,114.2
1992,8,91.9
1992,9,94
1992,10,133.4
1992,11,129.6
1992,12,122
1993,1,81.4
1993,2,127.8
1993,3,102.4
1993,4,94.4
1993,5,78.8
1993,6,69.6
1993,7,80.4
1993,8,62.5
1993,9,31.2
1993,10,71.1
1993,11,48.2
1993,12,68.4
1994,1,84.9
1994,2,54.9
1994,3,47.5
1994,4,27.4
1994,5,29.8
1994,6,39.7
1994,7,50.6
1994,8,34.3
1994,9,40.5
1994,10,67.1
1994,11,29.5
1994,12,32.2
1995,1,32.6
1995,2,45.8
1995,3,46.3
1995,4,21.6
1995,5,19.4
1995,6,22.5
1995,7,20.4
1995,8,18.2
1995,9,15.7
1995,10,30.6
1995,11,14
1995,12,14.9
1996,1,13.3
1996,2,7.7
1996,3,12.6
1996,4,6.8
1996,5,7.6
1996,6,16.5
1996,7,11.8
1996,8,19.7
1996,9,3
1996,10,0.7
1996,11,24.9
1996,12,14
1997,1,7.4
1997,2,11
1997,3,12.1
1997,4,23
1997,5,25.4
1997,6,20.8
1997,7,12.9
1997,8,35.7
1997,9,59.7
1997,10,32.8
1997,11,50.4
1997,12,55.5
1998,1,44.5
1998,2,50.2
1998,3,82
1998,4,70.6
1998,5,74
1998,6,90.5
1998,7,96.7
1998,8,121.1
1998,9,132
1998,10,78.5
1998,11,97.3
1998,12,119.2
1999,1,86
1999,2,98
1999,3,103.5
1999,4,93.6
1999,5,149.6
1999,6,207.2
1999,7,173.5
1999,8,142.3
1999,9,106.3
1999,10,168.7
1999,11,188.3
1999,12,116.8
2000,1,133.1
2000,2,165.7
2000,3,217.7
2000,4,191.5
2000,5,165.9
2000,6,188
2000,7,244.3
2000,8,180.5
2000,9,156
2000,10,141.6
2000,11,158.1
2000,12,143.3
2001,1,142.6
2001,2,121.5
2001,3,165.8
2001,4,161.7
2001,5,142.1
2001,6,202.9
2001,7,123
2001,8,161.5
2001,9,238.2
2001,10,194.1
2001,11,176.6
2001,12,213.4
2002,1,184.6
2002,2,170.2
2002,3,147.1
2002,4,186.9
2002,5,187.5
2002,6,128.8
2002,7,161
2002,8,175.6
2002,9,187.9
2002,10,151.2
2002,11,147.2
2002,12,135.3
2003,1,133.5
2003,2,75.7
2003,3,100.7
2003,4,97.9
2003,5,86.8
2003,6,118.7
2003,7,128.3
2003,8,115.4
2003,9,78.5
2003,10,97.8
2003,11,82.9
2003,12,72.2
2004,1,60.6
2004,2,74.6
2004,3,74.8
2004,4,59.2
2004,5,72.8
2004,6,66.5
2004,7,83.8
2004,8,69.7
2004,9,48.8
2004,10,74.2
2004,11,70.1
2004,12,28.9
2005,1,48.1
2005,2,43.5
2005,3,39.6
2005,4,38.7
2005,5,61.9
2005,6,56.8
2005,7,62.4
2005,8,60.5
2005,9,37.2
2005,10,13.2
2005,11,27.5
2005,12,59.3
2006,1,20.9
2006,2,5.7
2006,3,17.3
2006,4,50.3
2006,5,37.2
2006,6,24.5
2006,7,22.2
2006,8,20.8
2006,9,23.7
2006,10,14.9
2006,11,35.7
2006,12,22.3
2007,1,29.3
2007,2,18.4
2007,3,7.2
2007,4,5.4
2007,5,19.5
2007,6,21.3
2007,7,15.1
2007,8,9.8
2007,9,4
2007,10,1.5
2007,11,2.8
